TradeTimestamp,tradePrice,tradeQuantity,side,tradeId
2021-10-10T17:10:39.774,0.000023918,8,8,BUY,1879364938278981452
2021-10-10T17:10:39.274,0.000023911,160,160,BUY,1879364921487803916
2021-10-10T17:10:37.973,0.000023875,3,3,SELL,1879364877856170092
2021-10-10T17:10:27.273,0.000023873,2,2,SELL,1879364518812741068
2021-10-10T17:10:20.174,0.000023909,1,1,BUY,1879364280611604460
2021-10-10T17:10:17.188,0.000023879,5,5,SELL,1879364180411008332
2021-10-10T17:09:55.915,0.000023914,1,1,BUY,1879363466606721132
2021-10-10T17:09:43.186,0.000023891,3,3,SELL,1879363039487014380
2021-10-10T17:09:40.179,0.000023923,1,1,BUY,1879362938585360012
2021-10-10T17:09:32.908,0.000023890,3,3,SELL,1879362694622186924
2021-10-10T17:09:32.115,0.000023928,4,4,BUY,1879362668010327180
2021-10-10T17:09:30.474,0.000023927,4,4,BUY,1879362612934814956
2021-10-10T17:09:15.076,0.000023924,2,2,BUY,1879362096265810796
2021-10-10T17:08:47.874,0.000023927,4,4,BUY,1879361183531677228
2021-10-10T17:08:32.301,0.000023956,1,1,BUY,1879360660990472780
2021-10-10T17:08:26.976,0.000023963,1,1,BUY,1879360482311260908
2021-10-10T17:08:24.894,0.000023939,2,2,SELL,1879360412452961708
2021-10-10T17:08:08.778,0.000023980,2,2,BUY,1879359871687533292
2021-10-10T17:07:56.881,0.000023967,3,3,BUY,1879359472473108364
2021-10-10T17:07:45.573,0.000023943,2,2,SELL,1879359093054470860
2021-10-10T17:07:36.574,0.000023969,1,1,BUY,1879358791105525964
2021-10-10T17:07:23.805,0.000023943,3,3,SELL,1879358362658840844
2021-10-10T17:07:06.679,0.000023988,4,4,BUY,1879357787997290508
2021-10-10T17:06:58.475,0.000023995,1,1,BUY,1879357512710407564
2021-10-10T17:06:56.993,0.000023964,5,5,SELL,1879357462992436236
2021-10-10T17:06:37.595,0.000023995,3,3,BUY,1879356812105380300
2021-10-10T17:06:23.686,0.000024000,4,4,BUY,1879356345367875308
2021-10-10T17:06:22.974,0.000023999,3,3,BUY,1879356321476830956
2021-10-10T17:06:20.373,0.000023966,4,4,SELL,1879356234213966220
2021-10-10T17:06:10.483,0.000024000,3,3,BUY,1879355902381605772
2021-10-10T17:05:58.873,0.000023983,2,2,BUY,1879355512798075084
2021-10-10T17:05:54.785,0.000023983,4,4,BUY,1879355375641792428
2021-10-10T17:05:52.374,0.000023950,4,4,SELL,1879355294738054828
2021-10-10T17:05:42.778,0.000023941,2,2,SELL,1879354972731573772
2021-10-10T17:05:21.518,0.000023937,4,4,SELL,1879354259371118540
2021-10-10T17:05:14.474,0.000023968,1,1,BUY,1879354023017633260
2021-10-10T17:05:14.074,0.000023937,1,1,SELL,1879354009597456620
2021-10-10T17:05:13.783,0.000023968,2,2,BUY,1879353999836815724
2021-10-10T17:05:13.077,0.000023937,1,1,SELL,1879353976155671500
2021-10-10T17:04:58.114,0.000023929,1,1,SELL,1879353474078186796
2021-10-10T17:04:55.174,0.000023966,4,4,BUY,1879353375426236908
2021-10-10T17:04:24.317,0.000023956,5,5,SELL,1879352340015916300
2021-10-10T17:04:22.276,0.000023991,4,4,BUY,1879352271531003596
2021-10-10T17:04:20.314,0.000023991,3,3,BUY,1879352205705582604
2021-10-10T17:03:52.773,0.000023958,1,1,SELL,1879351281568168172
2021-10-10T17:03:48.173,0.000023989,5,5,BUY,1879351127225176428
2021-10-10T17:03:36.673,0.000023959,2,2,SELL,1879350741370382252
2021-10-10T17:03:11.775,0.000024020,2,2,BUY,1879349905927804876
2021-10-10T17:03:09.274,0.000024020,1,1,BUY,1879349821997151468
2021-10-10T17:02:51.875,0.000024020,1,1,BUY,1879349238191708300
2021-10-10T17:02:48.874,0.000023983,4,4,SELL,1879349137493300748
2021-10-10T17:02:43.574,0.000024019,4,4,BUY,1879348959639056556
2021-10-10T17:02:36.808,0.000024025,3,3,BUY,1879348732627374252
2021-10-10T17:02:34.507,0.000024023,1,1,BUY,1879348655418579724
2021-10-10T17:02:29.074,0.000023966,1,1,SELL,1879348473118841996
2021-10-10T17:02:17.089,0.000023969,5,5,SELL,1879348070959852076
2021-10-10T17:01:59.074,0.000024038,1,1,BUY,1879347466469113900
2021-10-10T17:01:46.794,0.000024040,5,5,BUY,1879347054420655948
2021-10-10T17:01:40.976,0.000024004,1,1,SELL,1879346859225430316
2021-10-10T17:01:26.497,0.000024045,1,1,BUY,1879346373365110956
2021-10-10T17:00:57.815,0.000023981,3,3,SELL,1879345410977680684
2021-10-10T17:00:48.817,0.000023972,3,3,SELL,1879345109046352236
2021-10-10T17:00:46.774,0.000023971,3,3,SELL,1879345040508315980
2021-10-10T17:00:21.074,0.000023994,4,4,BUY,1879344178132458540
2021-10-10T17:00:13.473,0.000023959,2,2,SELL,1879343923090162348
2021-10-10T17:00:12.798,0.000023959,3,3,SELL,1879343900438812588
2021-10-10T17:00:07.216,0.000023990,4,4,BUY,1879343713152420972
2021-10-10T16:59:58.018,0.000024002,1,1,BUY,1879343404522354060
2021-10-10T16:59:54.373,0.000023968,1,1,SELL,1879343282196702732
2021-10-10T16:59:41.605,0.000023975,3,3,SELL,1879342853780505836
2021-10-10T16:59:33.973,0.000023977,1,1,SELL,1879342597686437612
2021-10-10T16:59:13.173,0.000023969,5,5,SELL,1879341899774379916
2021-10-10T16:58:57.784,0.000023964,5,5,SELL,1879341383390212172
2021-10-10T16:58:48.474,0.000023961,5,5,SELL,1879341070991660044
2021-10-10T16:58:44.373,0.000024004,3,3,BUY,1879340933381346444
2021-10-10T16:58:37.673,0.000023974,1,1,SELL,1879340708575789356
2021-10-10T16:58:34.674,0.000024003,3,3,BUY,1879340607954324396
2021-10-10T16:58:27.778,0.000023979,4,4,SELL,1879340376552280844
2021-10-10T16:58:27.173,0.000023977,4,4,SELL,1879340356268992012
2021-10-10T16:58:23.087,0.000023977,3,3,SELL,1879340219166518988
2021-10-10T16:58:06.700,0.000023974,1,1,SELL,1879339669310705388
2021-10-10T16:58:04.474,0.000024018,1,1,BUY,1879339594609452364
2021-10-10T16:57:52.974,0.000024002,9,9,BUY,1879339208723926604
2021-10-10T16:57:52.006,0.000023965,52,52,BUY,1879339176253600140
2021-10-10T16:57:51.974,0.000023970,2172,2172,BUY,1879339175184989132
2021-10-10T16:57:51.974,0.000023966,52,52,BUY,1879339175184937388
2021-10-10T16:57:51.974,0.000023966,160,160,BUY,1879339175184713388
2021-10-10T16:57:43.473,0.000023944,1,1,SELL,1879338889959155532
2021-10-10T16:57:41.900,0.000023944,2,2,SELL,1879338837153047756
2021-10-10T16:57:39.174,0.000023970,1,1,BUY,1879338745693536620
2021-10-10T16:57:31.506,0.000023934,4,4,SELL,1879338488390497708
2021-10-10T16:57:29.985,0.000023934,1,1,SELL,1879338437359568780
2021-10-10T16:57:01.573,0.000023929,4,4,SELL,1879337483992436524
2021-10-10T16:56:56.582,0.000023929,1,1,SELL,1879337316521640364
2021-10-10T16:56:39.381,0.000023930,2,2,SELL,1879336739353031724
2021-10-10T16:56:36.273,0.000023924,5,5,SELL,1879336635068630892
2021-10-10T16:56:25.285,0.000023924,1,1,SELL,1879336266388309580
2021-10-10T16:56:17.779,0.000023950,2,2,BUY,1879336014523306988
2021-10-10T16:55:27.676,0.000023960,4,4,BUY,1879334333351573516
2021-10-10T16:55:16.074,0.000023966,5,5,BUY,1879333944052947660
2021-10-10T16:55:12.077,0.000023933,3,3,SELL,1879333809912313260
2021-10-10T16:55:11.474,0.000023933,3,3,SELL,1879333789703334252
2021-10-10T16:54:50.497,0.000023961,3,3,BUY,1879333085804670220
2021-10-10T16:54:31.874,0.000023921,2,2,SELL,1879332460930109260
2021-10-10T16:54:29.185,0.000023921,1,1,SELL,1879332370715324300
2021-10-10T16:54:23.874,0.000023950,4,4,BUY,1879332192485350444
2021-10-10T16:54:20.500,0.000023949,1,1,BUY,1879332079288333580
2021-10-10T16:54:05.384,0.000023921,1,1,SELL,1879331572082385932
2021-10-10T16:54:02.073,0.000023922,1,1,SELL,1879331460987885644
2021-10-10T16:54:00.673,0.000023922,4,4,SELL,1879331414005710828
2021-10-10T16:53:59.279,0.000023949,3,3,BUY,1879331367239668332
2021-10-10T16:53:42.274,0.000023948,2,2,BUY,1879330796635797196
2021-10-10T16:53:29.786,0.000023923,3,3,SELL,1879330377620366316
2021-10-10T16:53:28.175,0.000023931,2,2,SELL,1879330323539787500
2021-10-10T16:53:27.773,0.000023929,2,2,SELL,1879330310068988908
2021-10-10T16:53:25.291,0.000023954,3,3,BUY,1879330226798697996
2021-10-10T16:53:24.077,0.000023954,3,3,BUY,1879330186056876300
2021-10-10T16:53:05.174,0.000023963,3,3,BUY,1879329551777975756
2021-10-10T16:52:56.373,0.000023930,5,5,SELL,1879329256450912300
2021-10-10T16:52:41.573,0.000023942,5,5,SELL,1879328759860454732
2021-10-10T16:52:41.302,0.000023941,3,3,SELL,1879328750747253996
2021-10-10T16:52:23.308,0.000023969,4,4,BUY,1879328146988389132
2021-10-10T16:52:17.373,0.000023965,3,3,BUY,1879327947816594604
2021-10-10T16:52:02.377,0.000023940,4,4,SELL,1879327444636182380
2021-10-10T16:51:57.973,0.000023970,2,2,BUY,1879327296885066540
2021-10-10T16:51:54.288,0.000023952,5,5,SELL,1879327173221296428
2021-10-10T16:51:54.274,0.000023951,2,2,SELL,1879327172753118476
2021-10-10T16:51:54.176,0.000023985,2,2,BUY,1879327169481893292
2021-10-10T16:51:33.801,0.000023980,4,4,BUY,1879326485785927916
2021-10-10T16:51:30.290,0.000023948,3,3,SELL,1879326367984650636
